date,bidopen,bidclose,bidhigh,bidlow,askopen,askclose,askhigh,asklow,tickqty
2020-12-22 04:10:00,1.22287,1.22288,1.22291,1.22287,1.22299,1.22303,1.22304,1.22299,56
2020-12-22 04:11:00,1.22288,1.2229,1.22291,1.22286,1.22302,1.22302,1.22303,1.22299,52
2020-12-22 04:12:00,1.22291,1.22288,1.22292,1.22287,1.22302,1.22299,1.22304,1.22299,85
2020-12-22 04:13:00,1.22288,1.22286,1.2229,1.22282,1.223,1.22298,1.22301,1.22294,73
2020-12-22 04:14:00,1.22287,1.22281,1.22287,1.22279,1.22298,1.22294,1.22298,1.22291,72
2020-12-22 04:15:00,1.22281,1.22283,1.22285,1.22278,1.22293,1.22296,1.22298,1.2229,65
2020-12-22 04:16:00,1.22282,1.22284,1.22289,1.22282,1.22296,1.22298,1.22301,1.22295,49
2020-12-22 04:17:00,1.22285,1.22269,1.22287,1.22269,1.22298,1.22283,1.22299,1.22283,82
2020-12-22 04:18:00,1.2227,1.22257,1.22272,1.22256,1.22283,1.22269,1.22285,1.22268,93
2020-12-22 04:19:00,1.22258,1.22254,1.22258,1.22252,1.22269,1.22267,1.22269,1.22264,57
2020-12-22 04:20:00,1.22254,1.22256,1.22257,1.22248,1.22266,1.22269,1.2227,1.22261,72
2020-12-22 04:21:00,1.22256,1.22257,1.22264,1.22254,1.2227,1.2227,1.22277,1.22268,78
2020-12-22 04:22:00,1.22256,1.22266,1.22267,1.22256,1.22269,1.22279,1.22279,1.22269,73
2020-12-22 04:23:00,1.22267,1.22262,1.22271,1.2226,1.22279,1.22275,1.22284,1.22275,80
2020-12-22 04:24:00,1.22262,1.22258,1.22263,1.22252,1.22276,1.2227,1.22276,1.22265,71
2020-12-22 04:25:00,1.22257,1.22253,1.22258,1.22246,1.2227,1.22266,1.2227,1.22258,93
2020-12-22 04:26:00,1.22254,1.22252,1.22256,1.2225,1.22266,1.22265,1.22269,1.22264,43
2020-12-22 04:27:00,1.22252,1.22242,1.22253,1.2224,1.22264,1.22254,1.22264,1.22252,52
2020-12-22 04:28:00,1.22243,1.22238,1.22243,1.22235,1.22254,1.22251,1.22256,1.22248,74
2020-12-22 04:29:00,1.22239,1.22243,1.22244,1.22236,1.22251,1.22256,1.22257,1.22249,87
2020-12-22 04:30:00,1.22243,1.22256,1.22256,1.22243,1.22257,1.22269,1.22269,1.22256,50
2020-12-22 04:31:00,1.22255,1.22238,1.22255,1.22237,1.22269,1.22251,1.22269,1.22251,100
2020-12-22 04:32:00,1.22238,1.22222,1.22239,1.22221,1.22252,1.22233,1.22252,1.22231,182
2020-12-22 04:33:00,1.22222,1.22222,1.22227,1.2222,1.22234,1.22234,1.22238,1.22231,94
2020-12-22 04:34:00,1.22222,1.22209,1.22225,1.22206,1.22233,1.2222,1.22237,1.22218,126
2020-12-22 04:35:00,1.22209,1.22219,1.22219,1.22207,1.22221,1.22232,1.22232,1.22219,64
2020-12-22 04:36:00,1.22218,1.22194,1.22219,1.22187,1.22231,1.22205,1.22232,1.22198,180
2020-12-22 04:37:00,1.22194,1.22209,1.2221,1.22194,1.22206,1.22221,1.22223,1.22206,122
2020-12-22 04:38:00,1.22209,1.22217,1.22217,1.22208,1.22222,1.22229,1.22231,1.22221,107
2020-12-22 04:39:00,1.22217,1.22216,1.22221,1.22211,1.22231,1.2223,1.22235,1.22225,55
2020-12-22 04:40:00,1.22216,1.22221,1.22222,1.22212,1.22229,1.22233,1.22235,1.22225,83
2020-12-22 04:41:00,1.22221,1.22219,1.22222,1.22217,1.22234,1.22231,1.22234,1.22228,38
2020-12-22 04:42:00,1.22218,1.22219,1.22222,1.22218,1.22231,1.22232,1.22235,1.2223,71
2020-12-22 04:43:00,1.22219,1.22217,1.22221,1.22216,1.22231,1.2223,1.22235,1.22228,88
2020-12-22 04:44:00,1.22217,1.22214,1.22217,1.22212,1.22229,1.22228,1.22231,1.22225,27
2020-12-22 04:45:00,1.22214,1.22202,1.22214,1.22201,1.22227,1.22215,1.22227,1.22213,55
2020-12-22 04:46:00,1.22202,1.22208,1.22211,1.22197,1.22216,1.2222,1.22224,1.2221,111
2020-12-22 04:47:00,1.22207,1.22202,1.22207,1.22201,1.2222,1.22213,1.2222,1.22213,50
2020-12-22 04:48:00,1.22202,1.22192,1.22202,1.22187,1.22214,1.22204,1.22214,1.222,169
2020-12-22 04:49:00,1.22192,1.22197,1.22201,1.22191,1.22205,1.22208,1.22215,1.22203,133
2020-12-22 04:50:00,1.22197,1.22194,1.22198,1.22191,1.22209,1.22208,1.22211,1.22204,99
2020-12-22 04:51:00,1.22195,1.22205,1.22206,1.22195,1.22208,1.22218,1.2222,1.22208,140
2020-12-22 04:52:00,1.22204,1.22211,1.22211,1.22201,1.22218,1.22223,1.22224,1.22214,60
2020-12-22 04:53:00,1.22211,1.22216,1.22218,1.22211,1.22222,1.22229,1.2223,1.22222,68
2020-12-22 04:54:00,1.22216,1.2222,1.22221,1.22215,1.2223,1.22234,1.22234,1.22228,77
2020-12-22 04:55:00,1.2222,1.22221,1.22223,1.22217,1.22233,1.22232,1.22235,1.22229,80
2020-12-22 04:56:00,1.22221,1.22221,1.22222,1.2222,1.22233,1.22233,1.22234,1.22232,15
2020-12-22 04:57:00,1.22221,1.22225,1.22228,1.22216,1.22232,1.22238,1.22241,1.22229,59
2020-12-22 04:58:00,1.22225,1.22221,1.22227,1.22217,1.22237,1.22234,1.2224,1.22231,42
2020-12-22 04:59:00,1.22221,1.22225,1.22225,1.22219,1.22233,1.2224,1.2224,1.22232,31
